"","logFC","logCPM","LR","PValue","FDR"
"LOC115723346",0.687935769881168,7.94917550255279,93.3643126158206,4.35024327199142e-22,2.24255040671158e-18
"LOC115709853",0.622666190426012,7.64427944760067,60.1301451387435,8.8788035746776e-15,2.28851162137315e-11
"LOC115707554",0.577225290956649,7.75139326951837,56.5459158401206,5.4901298493736e-14,9.43387312450697e-11
"LOC115714134",-0.481946349618645,8.08024982796356,51.1962261913933,8.35791502804251e-13,1.07712629923898e-09
"LOC115717016",-0.487312037448737,7.94634414096021,47.0949800621666,6.7628677076016e-12,6.97251660653725e-09
"LOC115715128",-0.450573470052905,8.11055773038776,45.9058114833769,1.24077329204132e-11,1.06603105341216e-08
"LOC115719336",0.475217997002379,7.8114745727193,40.4596555035198,2.00718083934988e-10,1.47814531812123e-07
"LOC133030849",0.425367014655645,7.83815902155173,33.1962993507552,8.33089283628896e-09,5.3682190713837e-06
"LOC115696310",0.401188726407522,7.80599440100674,28.8079917661664,7.99206529423687e-08,4.5776773990879e-05
"LOC115712860",0.409477976543896,7.71332187731106,27.8366019086487,1.32005025418127e-07,6.80485906030444e-05
"LOC115723347",0.376251627443262,7.91088660093504,27.5805612174532,1.50685545552579e-07,7.06167261203222e-05
"LOC133034289",-0.324946986900958,8.24998494511605,26.7718771987285,2.28945040180671e-07,9.35965609113998e-05
"LOC115721690",0.399943611171816,7.72011097643671,26.7129524597015,2.36034004238254e-07,9.35965609113998e-05
"LOC115700445",0.395491504730362,7.66569027004117,24.9941075429933,5.7505791693855e-07,0.000206383408373181
"LOC115709251",-0.32705469020028,8.14027607013817,24.9105345385571,6.00533681008285e-07,0.000206383408373181
"LOC115711648",-0.350038448954493,7.88942948548027,23.4012727730379,1.31491508462986e-06,0.000423649203829184
"LOC115698667",0.358103580377593,7.81965641796636,23.2453426556047,1.42595346234342e-06,0.000432399417551783
"LOC115709371",-0.313556970292972,8.10096098841179,22.2194383392515,2.43199109203464e-06,0.000696495226635475
"LOC115699430",-0.361615412659802,7.7229999588333,21.8367181969429,2.96864379428711e-06,0.000793128464303923
"LOC115724518",-0.35830343155629,7.7394776903036,21.7301857510172,3.13814332411355e-06,0.000793128464303923
"LOC115699971",-0.338963721222618,7.87326987118228,21.6742589451859,3.23097919503053e-06,0.000793128464303923
"LOC115707411",-0.31675889243012,8.02962262941051,21.44126910848,3.64833467361022e-06,0.000854871147384577
"LOC115719614",0.348296894185278,7.73221751056286,20.5002138441048,5.96245896358144e-06,0.00132636168143064
"LOC115721965",-0.329487740805005,7.86990289279355,20.4331425476245,6.17510773119988e-06,0.00132636168143064
"LOC115710301",-0.315416167562107,7.96753324261375,20.2464869775876,6.80783581016076e-06,0.00140377574405515
"LOC115707574",0.330378697686699,7.80493499641161,19.5720134345811,9.68779789576958e-06,0.00192079223664201
"LOC115698677",-0.339905131095873,7.72361984019977,19.3227773861744,1.10381718354322e-05,0.00210747317820936
"LOC115708267",-0.326550761144514,7.81706877479739,19.2422251697263,1.15138317572339e-05,0.00211977866816217
"LOC115715608",0.340553826705444,7.68926988811956,18.9320354811449,1.35458789235615e-05,0.00240789675348136
"LOC115697503",-0.308012556513126,7.90385468690263,18.3628348089756,1.82584854777919e-05,0.00313741642126723
"LOC115721204",-0.342009647628149,7.64056296576765,18.2802902285835,1.90669762892903e-05,0.00317065363778359
"LOC115719616",0.313521089032356,7.82216912062361,17.8810553984697,2.35150310555097e-05,0.00372120109511154
"LOC133039010",0.325679340490245,7.72658100024224,17.8564169687797,2.38214619085705e-05,0.00372120109511154
"LOC115701397",0.309267931041328,7.82440712867771,17.432796065204,2.97645907944214e-05,0.0045128372219189
"LOC115715930",-0.325382374919738,7.67812761106777,17.074800469689,3.59359858858127e-05,0.00529285734975326
"LOC115707257",-0.302414129786083,7.83331222297671,16.736370130281,4.29496954501391e-05,0.00615015777904074
"LOC115707185",0.311432342841231,7.75058069342953,16.6563845025472,4.47992679109599e-05,0.00624162773191887
"LOC115709404",0.321974727309835,7.65106745834373,16.4133423157068,5.09255063320781e-05,0.00690844697741743
"LOC115703200",-0.2611788374003,8.12845437781037,15.7826374284447,7.10515538268378e-05,0.00939155794813715
"LOC115700962",-0.280967732988687,7.91826071219105,15.4724916770811,8.37147638740579e-05,0.0107887401942692
"LOC115706175",0.296423509577789,7.77542052770498,15.4023837686356,8.68786282197401e-05,0.0109233982554332
"LOC115718889",0.292714026394627,7.779509590555,15.0705379419855,0.000103567186074828,0.0126537549965054
"LOC133030004",-0.283069524125433,7.86358907017004,15.03473966126,0.000105550235664351,0.0126537549965054
"LOC115706483",0.29526781432192,7.74891443272186,14.959421658734,0.000109848174550889,0.0127160437975502
"LOC115706178",0.286879864933126,7.81853051473241,14.939684600443,0.000111003292122165,0.0127160437975502
"LOC115707741",-0.289307067497506,7.782190994513,14.7086114968888,0.00012547198003997,0.0140610447196967
"LOC115705455",0.294274826275871,7.73156375847164,14.6521539423347,0.000129286812074475,0.0141802875796579
"LOC115707556",0.258130843685152,8.0550665942494,14.6005837095895,0.000132873380380068,0.0142700474137344
"LOC115705453",-0.26553753243106,7.98357517674062,14.5612014287387,0.000135679630400643,0.0142740509125574
"LOC115702949",-0.288784111273253,7.76888138225038,14.4993689734916,0.00014020650088074,0.0144552902408043
"LOC115703020",-0.291421807362973,7.7266614795498,14.2682564735997,0.000158515725275925,0.0160225208587724
"LOC115711388",-0.275669505496812,7.85981981681168,14.2201396398831,0.000162620713323811,0.0161213418689278
"LOC115708099",-0.275420080477712,7.85818448861201,14.1760166600949,0.000166479020500869,0.0161924405789053
"LOC115706543",-0.293314487673546,7.69057410449373,14.0354265442509,0.000179398711070776,0.0171259325105528
"LOC115722230",0.283566260378003,7.73767672560418,13.676949194845,0.000217103028869647,0.0199860386492252
"LOC115707174",0.27486856355143,7.8072999883362,13.5963222323648,0.000226629084634656,0.0199860386492252
"LOC115716241",0.274578840617948,7.8085438214039,13.5813435435714,0.000228444668840597,0.0199860386492252
"LOC115699067",-0.267889648106477,7.87309647102366,13.5758723710574,0.000229111484443923,0.0199860386492252
"LOC115721731",-0.266717928892987,7.88353711700953,13.5704325042198,0.000229776429136882,0.0199860386492252
"LOC115725170",-0.277725852560147,7.7787365799656,13.5230224886775,0.000235654574235875,0.0199860386492252
"LOC115700030",-0.23465016306958,8.20358161794025,13.5163160017594,0.000236498226499076,0.0199860386492252
"LOC133037475",-0.248056368121406,8.05805879051231,13.4815868232039,0.000240915973690747,0.0200309974899323
"LOC115716971",-0.219559894152883,8.36270854405621,13.3795725179895,0.000254379701272583,0.0206217060164658
"LOC115714180",-0.266928130484996,7.86268133625659,13.3675089656679,0.000256021180417811,0.0206217060164658
"LOC115718599",-0.257021476696393,7.94862891310743,13.2748200569579,0.000268994704917429,0.0210295341778492
"LOC133031648",-0.256496695956953,7.95360656131328,13.2730882474445,0.00026924330858158,0.0210295341778492
"LOC115700515",0.279043237950603,7.73268742918896,13.1923701429823,0.000281091173867036,0.0216272388251428
"LOC115704224",-0.260581975521954,7.8991516203796,13.1182052417582,0.000292440053360307,0.0218985162088641
"LOC115719513",-0.263163168737265,7.87410676816582,13.1138989891052,0.000293113020060451,0.0218985162088641
"LOC115705789",-0.251008967810784,7.98351382836301,13.0175931504666,0.00030857816461688,0.022724577694286
"LOC115694676",-0.240322612608834,8.08722005185453,12.9494277004917,0.00032001930914486,0.0232352047696021
"LOC115705323",-0.242524919914603,8.0591033021838,12.9000467480579,0.0003285739262366,0.0233702825617993
"LOC115716934",-0.260823148681233,7.87447217949821,12.8865791949065,0.000330946775365926,0.0233702825617993
